no,gpsreal1,gpsreal2,gpsreal3,gpsreal4,gpsreal5,gpsreal6,gpsreal7,gpsreal8,gpsreal9,gpsreal10,gpsreal11,gpsreal12
1,1.3,1.5,2,1.5,1.36,1.22,1.9,0.76,2.4,0.53,1.2,1.2
2,1.4,0.96,0.85,1.44,1.34,1.15,0.68,1.4,2.3,0.8,1.48,1.67
3,1.7,1.5,1.57,1.74,1.29,1.3,0.8,1.5,1.17,1.29,1.21,1.53
4,1.32,1.7,1.4,1.59,1.58,1.78,0.7,1,1.4,0.4,1.57,1.2
5,0.61,1.3,1.24,1.5,1.3,1.5,0.67,0.93,1.33,0.42,1.23,1.5
6,1.2,1.2,1.85,1.3,1.35,1.45,2.2,2.12,1.19,0.8,1.4,1.4
7,1.17,0.97,0.89,1.03,1.45,1.47,2.1,2.75,1.3,0.5,1.35,1.2
8,0.93,0.78,1,1.94,1.07,1.15,0.75,1.1,1.14,0.75,1.87,1.63
9,1.20,0.98,1.47,1.82,2.14,1.81,0.78,1.08,2.13,0.42,2.37,1.47
