no,gpsapp1,gpsapp2,gpsapp3,gpsapp4,gpsapp5,gpsapp6,gpsapp7,gpsapp8,gpsapp9,gpsapp10,gpsapp11,gpsapp12
1,2,2,1.87,1.81,1.78,2,1.95,1.94,1.7,1.87,1.87,1.72
2,1.48,1.47,1.68,1.72,1.77,1.42,1.97,1.89,1.73,1.55,1.74,1.85
3,1.59,1.99,1.64,1.89,1.97,1.66,1.61,1.97,1.3,1.66,1.89,1.87
4,1.85,1.98,1.99,1.94,1.99,1.56,1.54,1.67,1.72,1.32,1.97,1.83
5,1.88,1.8,1.91,1.75,1.93,1.86,1.93,1.72,1.62,1.3,1.73,1.44
6,1.73,1.66,1.85,1.81,1.58,1.74,1.84,1.92,1.44,1.73,1.43,1.77
7,1.99,1.9,1.96,1.59,1.59,1.71,1.9,1.66,1.62,1.98,1.9,1.58
8,1.29,1.83,1.97,1.95,1.92,1.54,1.76,1.92,2,1.44,1.71,1.88
9,1.73,1.83,1.86,1.95,1.69,1.86,2,1.83,1.9,1.89,1.79,1.52
